type,delimiter,extension,format,nrows,ncols,file_size,nnum_vars,nchar_vars,num_vars,char_vars,tasks,num_files,title,link,author,publisher,citation_request,description,date_submitted,date_created,tags
,,,,1040,26,NA,NA,NA,,,"classification, regression",NA,Parkinson Speech Dataset with  Multiple Types of Sound Recordings Data Set,,,,,"The training data belongs to 20 Parkinson's Disease (PD) patients and 20 healthy subjects. From all subjects, multiple types of sound recordings (26) are taken.",2014-06-12,,life
,,,,756,754,NA,NA,NA,,,classification,NA,Parkinson's Disease Classification Data Set,,,,,The data used in this study were gathered from 188 patients with PD (107 men and 81 women) with ages ranging from 33 to 87 (65.1Â±10.9).,2018-11-05,,computer
,,,,197,23,NA,NA,NA,,,classification,NA,Parkinsons Data Set,,,,,Oxford Parkinson's Disease Detection Dataset,2008-06-26,,life
,,,,5875,26,NA,NA,NA,,,regression,NA,Parkinsons Telemonitoring Data Set,,,,,Oxford Parkinson's Disease Telemonitoring Dataset,2009-10-29,,life
,,,,4760,14,NA,NA,NA,,,"classification, regression, causal-discovery",NA,Pedestrian in Traffic Dataset Data Set,,,,,This data-set contains a number of pedestrian tracks recorded from a vehicle driving in a town in southern Germany. The data is particularly well-suited for multi-agent motion prediction tasks.,2019-07-04,,computer
,,,,440,138672,NA,NA,NA,,,classification,NA,PEMS-SF Data Set,,,,,"15 months worth of daily data (440 daily records) that describes the occupancy rate, between 0 and 1, of different car lanes of the San Francisco bay area freeways across time.",2011-05-22,,computer
,,,,10992,16,NA,NA,NA,,,classification,NA,Pen-Based Recognition of Handwritten Digits Data Set,,,,,Digit database of 250 samples from 44 writers,1998-07-01,,computer
,,,,560,2,NA,NA,NA,,,"classification, clustering",NA,Perfume Data Data Set,,,,,This data consists of odors of 20 different perfumes. Data was obtained by using a handheld odor meter (OMX-GR sensor) per second for 28 seconds period.,2014-07-22,,computer
,,,,48,321,NA,NA,NA,,,classification,NA,Person Classification Gait Data Data Set,,,,,"Gait is considered a biometric criterion. Therefore, we tried to classify people with gait analysis with this gait data set.",2020-03-02,,computer
,,,,2456,30,NA,NA,NA,,,classification,NA,Phishing Websites Data Set,,,,,"This dataset collected mainly from: PhishTank archive, MillerSmiles archive, Googleâ€™s searching operators.",2015-03-26,,computer security
,,,,6000000,129,NA,NA,NA,,,classification,NA,Physical Unclonable Functions Data Set,,,,,"The dataset is generated from Physical Unclonable Functions (PUFs) simulation, specifically XOR Arbiter PUFs. PUFs are used for authentication purposes. For more info, refer to our paper below.",2018-10-08,,computer
,,,,45730,9,NA,NA,NA,,,regression,NA,Physicochemical Properties of Protein Tertiary Structure Data Set,,,,,This is a data set of Physicochemical Properties of Protein Tertiary Structure. The data set is taken from CASP 5-9. There are 45730 decoys and size varying from 0 to 21 armstrong.,2013-03-31,,life
,,,,N/A,N/A,NA,NA,NA,,,n/a,NA,Pioneer-1 Mobile Robot Data Data Set,,,,,"This dataset contains time series sensor readings of the Pioneer-1 mobile robot. The data is broken into ""experiences"" in which the robot takes action for some period of time and experiences a control",1999-01-28,,computer
,,,,108,13,NA,NA,NA,,,classification,NA,Pittsburgh Bridges Data Set,,,,,Bridges database that has original and numeric-discretized datasets,1990-08-01,,n/a
,,,,182,13,NA,NA,NA,,,classification,NA,Planning Relax Data Set,,,,,The dataset concerns with the classification of two mental stages from recorded EEG signals: Planning (during imagination of motor act) and Relax state.,2012-07-17,,computer
,,,,22632,70,NA,NA,NA,,,clustering,NA,Plants Data Set,,,,,Data has been extracted from the USDA plants database. It contains all plants (species and genera) in the database and the states of USA and Canada where they occur.,2008-12-31,,life
,,,,52854,86,NA,NA,NA,,,regression,NA,PM2.5 Data of Five Chinese Cities Data Set,,,,,"This hourly data set contains the PM2.5 data in Beijing, Shanghai, Guangzhou, Chengdu and Shenyang. Meanwhile, meteorological data for each city are also included.",2017-07-18,,physical
,,,,5180,9,NA,NA,NA,,,classification,NA,PMU-UD Data Set,,,,,"The handwritten dataset was collected from 170 participants with a total of 5,180 numeral patterns. The dataset is named Prince Mohammad Bin Fahd University - Urdu/Arabic Database (PMU-UD).",2018-08-05,,computer
,,,,1025010,11,NA,NA,NA,,,classification,NA,Poker Hand Data Set,,,,,Purpose is to predict poker hands,2007-01-01,,game
,,,,10503,64,NA,NA,NA,,,classification,NA,Polish companies bankruptcy data Data Set,,,,,"The dataset is about bankruptcy prediction of Polish companies.The bankrupt companies were analyzed in the period 2000-2012, while the still operating companies were evaluated from 2007 to 2013.",2016-04-11,,business
,,,,90,8,NA,NA,NA,,,classification,NA,Post-Operative Patient Data Set,,,,,Dataset of patient features,1993-06-01,,life
,,,,8300000,11,NA,NA,NA,,,regression,NA,PPG-DaLiA Data Set,,,,,"PPG-DaLiA contains data from 15 subjects wearing physiological and motion sensors, providing a PPG dataset for motion compensation and heart rate estimation in Daily Life Activities.",2019-07-30,,computer
,,,,51,35,NA,NA,NA,,,n/a,NA,Predict keywords activities in a online social media Data Set,,,,,The data from Twitter was collected during 360 consecutive days. It was done by querying 1497 English keywords sampled from Wikipedia. This dataset is proposed in a Learning to rank setting.,2013-12-12,,computer
,,,,339,17,NA,NA,NA,,,classification,NA,Primary Tumor Data Set,,,,,From Ljubljana Oncology Institute,1988-11-01,,life
,,,,N/A,N/A,NA,NA,NA,,,n/a,NA,Prodigy Data Set,,,,,"Assorted domains like blocksworld, eightpuzzle, and schedworld.",N/A,,n/a
,,,,1197,15,NA,NA,NA,,,"classification, regression",NA,Productivity Prediction of Garment Employees Data Set,,,,,This dataset includes important attributes of the garment manufacturing process and the productivity of the employees which had been collected manually and also been validated by the industry experts.,2020-08-03,,business
,,,,N/A,N/A,NA,NA,NA,,,n/a,NA,Protein Data Data Set,,,,,Undocumented,N/A,,life
,,,,100000,N/A,NA,NA,NA,,,n/a,NA,Pseudo Periodic Synthetic Time Series Data Set,,,,,"This data set is designed for testing indexing schemes in time series databases. The data appears highly periodic, but never exactly repeats itself.",1999-02-08,,n/a
,,,,N/A,N/A,NA,NA,NA,,,classification,NA,PubChem Bioassay Data Data Set,,,,,These highly imbalanced bioassay datasets are from the differing types of screening that can be performed using HTS technology. 21 datasets were created from 12 bioassays.,2011-03-29,,life
,,,,1687,1024,NA,NA,NA,,,classification,NA,QSAR androgen receptor Data Set,,,,,"1024 binary attributes (molecular fingerprints) used to classify 1687 chemicals into 2 classes (binder to androgen receptor/positive, non-binder to androgen receptor /negative)",2019-10-01,,physical
,,,,546,9,NA,NA,NA,,,regression,NA,QSAR aquatic toxicity Data Set,,,,,Data set containing values for 8 attributes (molecular descriptors) of 546 chemicals used to predict quantitative acute aquatic toxicity towards Daphnia Magna..,2019-09-23,,physical
,,,,779,14,NA,NA,NA,,,"classification, regression",NA,QSAR Bioconcentration classes dataset Data Set,,,,,"Dataset of manually-curated Bioconcentration factor (BCF, fish) and mechanistic classes for QSAR modeling.",2019-10-11,,life
,,,,1055,41,NA,NA,NA,,,classification,NA,QSAR biodegradation Data Set,,,,,Data set containing values for 41 attributes (molecular descriptors) used to classify 1055 chemicals into 2 classes (ready and not ready biodegradable).,2013-06-21,,n/a
,,,,1056,7,NA,NA,NA,,,regression,NA,QSAR fish bioconcentration factor (BCF) Data Set,,,,,Experimental bioconcentration factor (BCF) for 1056 molecules and binary fingeprints (extended connectivity) to be used for QSAR modeling.,2019-11-27,,life
,,,,908,7,NA,NA,NA,,,regression,NA,QSAR fish toxicity Data Set,,,,,Data set containing values for 6 attributes (molecular descriptors) of 908 chemicals used to predict quantitative acute aquatic toxicity towards the fish Pimephales promelas (fathead minnow).,2019-09-23,,physical
,,,,8992,1024,NA,NA,NA,,,classification,NA,QSAR oral toxicity Data Set,,,,,"Data set containing values for 1024 binary attributes (molecular fingerprints) used to classify 8992 chemicals into 2 classes (very toxic/positive, not very toxic/negative)",2019-10-01,,physical
,,,,3960456,4,NA,NA,NA,,,n/a,NA,QtyT40I10D100K Data Set,,,,,"Since there is no numerical sequential data stream available in standard data sets, this data set is generated from the original T40I10D100K data set",2012-10-21,,n/a
,,,,N/A,72,NA,NA,NA,,,classification,NA,Quadruped Mammals Data Set,,,,, The file animals.c is a data generator of structured instances representing quadruped animals,1992-08-25,,life
,,,,N/A,N/A,NA,NA,NA,,,n/a,NA,Qualitative Structure Activity Relationships Data Set,,,,,Two sets of datasets are given: pyrimidines and triazines,N/A,,physical
,,,,250,7,NA,NA,NA,,,classification,NA,Qualitative,,,,,Predict the Bankruptcy from Qualitative parameters from experts.,2014-02-09,,computer
,,,,287,69,NA,NA,NA,,,classification,NA,Quality Assessment of Digital Colposcopies Data Set,,,,,This dataset explores the subjective quality assessment of digital colposcopies.,2017-03-08,,life
,,,,260000,8,NA,NA,NA,,,"regression, clustering",NA,Query Analytics Workloads Dataset Data Set,,,,,The data-set contains three (3) sets of range/radius query workloads from Gaussian distributions over a real dataset; Each query is associated with aggregate scalar values (count/sum/average).,2019-06-22,,computer
,,,,414,7,NA,NA,NA,,,regression,NA,Real estate valuation data set Data Set,,,,,"The â€œreal estate valuationâ€ is a regression problem. The market historical data set of real estate valuation are collected from Sindian Dist., New Taipei City, Taiwan.",2018-08-18,,business
,,,,21643,29,NA,NA,NA,,,regression,NA,Real-time Election Results: Portugal 2019 Data Set,,,,,Data set of the real-time election results of the 2019 Portuguese Parliamentary Election.,2019-12-05,,social
,,,,1419,120,NA,NA,NA,,,classification,NA,REALDISP Activity Recognition Dataset Data Set,,,,,The REALDISP dataset is devised to evaluate techniques dealing with the effects of sensor displacement in wearable activity recognition as well as to benchmark general activity recognition algorithms,2014-07-25,,computer
,,,,5749132,12,NA,NA,NA,,,classification,NA,Record Linkage Comparison Patterns Data Set,,,,,Element-wise comparison of records with personal data from a record linkage setting. The task is to decide from a comparison pattern whether the underlying records belong to one person.,2011-03-10,,n/a
,,,,467,79,NA,NA,NA,,,classification,NA,Refractive errors Data Set,,,,,Effect of life style and genetic on eye refractive errors.,2020-04-27,,life
,,,,53500,386,NA,NA,NA,,,regression,NA,Relative location of CT slices on axial axis Data Set,,,,,The dataset consists of 384 features extracted from CT images. The class variable is numeric and denotes the relative location of the CT slice on the axial axis of the human body.,2011-07-07,,computer
,,,,130000,21000,NA,NA,NA,,,clustering,NA,Repeat Consumption Matrices Data Set,,,,,"The dataset contains 7 datasets of User - Item matrices, where each entry represents how many times a user consumed an item. Item is used as an umbrella term for various categories.",2018-03-22,,computer
,,,,372,105,NA,NA,NA,,,regression,NA,Residential Building Data Set Data Set,,,,,"Data set includes construction cost, sale prices, project variables, and economic variables corresponding to real estate single-family residential apartments in Tehran, Iran.",2018-02-19,,computer
,,,,138,47,NA,NA,NA,,,n/a,NA,Restaurant & consumer data Data Set,,,,,The dataset was obtained from a recommender system prototype. The task was to generate a top-n list of restaurants according to the consumer preferences.,2012-08-04,,computer
,,,,111740,N/A,NA,NA,NA,,,classification,NA,"Reuters RCV1 RCV2 Multilingual, Multiview Text Categorization Test collection Data Set",,,,,"This test collection contains feature characteristics of documents originally written in five different languages and their translations, over a common set of 6 categories.",2013-09-06,,life
,,,,200,N/A,NA,NA,NA,,,classification,NA,Reuters Transcribed Subset Data Set,,,,,"This dataset is created by reading out 200 files from the 10 largest Reuters ",2008-03-08,,business
,,,,21578,5,NA,NA,NA,,,classification,NA,Reuters-21578 Text Categorization Collection Data Set,,,,,This is a collection of documents that appeared on Reuters newswire in 1987. The documents were assembled and indexed with categories.,1997-09-26,,n/a
,,,,2500,10000,NA,NA,NA,,,"classification, clustering",NA,Reuter,,,,,The dataset is used for authorship identification in online Writeprint which is a new research field of pattern recognition.,2011-09-08,,computer
,,,,3810,8,NA,NA,NA,,,classification,NA,Rice (Cammeo and Osmancik) Data Set,,,,,"A total of 3810 rice grain's images were taken for the two species, processed and feature inferences were made. 7 morphological features were obtained for each grain of rice.",2019-10-06,,computer
,,,,120,N/A,NA,NA,NA,,,classification,NA,Rice Leaf Diseases Data Set,,,,,"There are three classes/diseases: Bacterial leaf blight, Brown spot, and Leaf smut, each having 40 images. The format of all images is jpg.",2019-04-14,,computer
,,,,463,90,NA,NA,NA,,,classification,NA,Robot Execution Failures Data Set,,,,,This dataset contains force and torque measurements on a robot after failure detection. Each failure is characterized by 15 force/torque samples collected at regular time intervals,1999-04-23,,physical
,,,,20000,2,NA,NA,NA,,,classification,NA,Roman Urdu Data Set Data Set,,,,,Roman Urdu (the scripting style for Urdu language) is one of the limited resource languages.A data corpus comprising of more than 20000 records was collected.,2018-08-29,,computer
,,,,200,2,NA,NA,NA,,,classification,NA,Russian Corpus of Biographical Texts Data Set,,,,,Sentence classification (Russian). The corpus contains Wikipedia texts splitted into sentences/ Each sentence has a topic label.,2020-06-03,,n/a
,,,,811,53,NA,NA,NA,,,clustering,NA,Sales,,,,,Contains weekly purchased quantities of 800 over products over 52 weeks. Normalised values are provided too.,2017-07-16,,n/a
,,,,1450,N/A,NA,NA,NA,,,classification,NA,Sattriya,,,,,The Sattriya,2019-07-22,,computer
,,,,70,206,NA,NA,NA,,,"classification, clustering",NA,SCADI Data Set,,,,,First self-care activities dataset based on ICF-CY.,2018-04-14,,life
,,,,1567,591,NA,NA,NA,,,"classification, causal-discovery",NA,SECOM Data Set,,,,,Data from a semi-conductor manufacturing process,2008-11-19,,computer
,,,,210,7,NA,NA,NA,,,"classification, clustering",NA,seeds Data Set,,,,,"Measurements of geometrical properties of kernels belonging to three different varieties of wheat. A soft X-ray technique and GRAINS package were used to construct all seven, real-valued attributes.",2012-09-29,,life
,,,,2584,19,NA,NA,NA,,,classification,NA,seismic-bumps Data Set,,,,,"The data describe the problem of high energy (higher than 10^4 J) seismic bumps forecasting in a coal ",2013-04-03,,n/a
,,,,26136,6,NA,NA,NA,,,"classification, clustering",NA,selfBACK Data Set,,,,,"The SELFBACK dataset is a Human Activity Recognition Dataset of 9",2020-06-15,,computer
,,,,1593,256,NA,NA,NA,,,classification,NA,Semeion Handwritten Digit Data Set,,,,,"1593 handwritten digits from around 80 persons were scanned, stretched in a rectangular box 16x16 in a gray scale of 256 values.",2008-11-11,,computer
,,,,3000,2500,NA,NA,NA,,,classification,NA,sEMG for Basic Hand movements Data Set,,,,,The sEMG for Basic Hand movements includes 2 databases of surface electromyographic signals of 6 hand movements using Delsys' EMG System. Healthy subjects conducted six daily life grasps.,2014-11-18,,life
,,,,N/A,N/A,NA,NA,NA,,,classification,NA,Sentence Classification Data Set,,,,,"Contains sentences from the abstract and introduction of 30 articles annotated with a modified Argumentative Zones annotation scheme. These articles come from biology, machine learning and psychology.",2014-11-05,,n/a
,,,,3000,N/A,NA,NA,NA,,,classification,NA,Sentiment Labelled Sentences Data Set,,,,,The dataset contains sentences labelled with positive or negative sentiment.,2015-05-30,,n/a
,,,,8760,14,NA,NA,NA,,,regression,NA,Seoul Bike Sharing Demand Data Set,,,,,The dataset contains count of public bikes rented at each hour in Seoul Bike haring System with the corresponding Weather data and Holidays information,2020-03-01,,computer
,,,,403,5,NA,NA,NA,,,classification,NA,ser Knowledge Modeling Data (Students' Knowledge Levels on DC Electrical Machines) Data Set,,,,,The dataset is about the users' learning activities and knowledge levels on subjects of DC  Electrical Machines. The dataset had been obtained from online web-courses  and reported in my Ph.D. Thesis.,2013-06-20,,computer
,,,,167,4,NA,NA,NA,,,regression,NA,Servo Data Set,,,,,Data was from a simulation of a servo system,1993-05-01,,computer
,,,,241600,18,NA,NA,NA,,,regression,NA,SGEMM GPU kernel performance Data Set,,,,,Running times for multiplying two 2048 x 2048 matrices using a GPU OpenCL SGEMM kernel with varying parameters (using the library 'CLTune').,2018-02-27,,computer
,,,,6321,13,NA,NA,NA,,,"classification, clustering",NA,Shill Bidding Dataset Data Set,,,,,"We scraped a large number of eBay auctions of a popular product. After preprocessing the auction data, we build the SB dataset. The goal is to share the labelled SB dataset with the researchers.",2020-03-10,,computer
,,,,597,1,NA,NA,NA,,,classification,NA,Shoulder Implant Manufacture Classification Data Set,,,,,The multi-class classification data set consists of 597 de-identified raw images of X-ray scans showing implanted shoulder prostheses from four manufactures.,2020-05-15,,life
,,,,597,1,NA,NA,NA,,,classification,NA,Shoulder Implant X-Ray Manufacturer Classification Data Set,,,,,597 de-identified raw X-ray scans of implanted shoulder prostheses from four manufactures.,2020-05-20,,life
,,,,597,1,NA,NA,NA,,,classification,NA,Shoulder Implant X-Ray Manufacturer Classification Data Set,,,,,597 de-identified raw X-ray scans of implanted shoulder prostheses from four manufactures.,2020-05-20,,life
,,,,15,6,NA,NA,NA,,,classification,NA,Shuttle Landing Control Data Set,,,,,Tiny database; all nominal values,1988-11-01,,physical
,,,,11164866,128,NA,NA,NA,,,causal-discovery,NA,SIFT10M Data Set,,,,,"In SIFT10M, each data point is a SIFT feature which is extracted from Caltech-256 by the open source VLFeat library. The corresponding patches of the SIFT features are provided.",2016-02-23,,computer
,,,,120000,25,NA,NA,NA,,,regression,NA,Simulated data for survival modelling Data Set,,,,,"A variety of survival data, with carefully controlled event and censor rates, is available to allow people to develop and test new approaches to survival modelling.",2018-12-04,,life
,,,,3060,138,NA,NA,NA,,,classification,NA,Simulated Falls and Daily Living Activities Data Set Data Set,,,,,"20 falls and 16 daily living activities were performed by 17 volunteers with 5 repetitions while wearing 6 sensors (3.060 instances) that attached to their head, chest, waist, wrist, thigh and ankle.",2018-06-06,,life
,,,,3395,20,NA,NA,NA,,,regression,NA,SkillCraft1 Master Table Dataset Data Set,,,,,"This data was used in Thompson et al. (2013). A list of possible game actions is discussed in Thompson, Blair, Chen, & Henrey (2013).",2013-10-22,,game
,,,,245057,4,NA,NA,NA,,,classification,NA,Skin Segmentation Data Set,,,,,"The Skin Segmentation dataset is constructed over B, G, R color space. Skin and Nonskin dataset is generated using skin textures from face images of diversity of age, gender, and race people.",2012-07-17,,computer
,,,,5744,561,NA,NA,NA,,,classification,NA,Smartphone Dataset for Human Activity Recognition (HAR) in Ambient Assisted Living (AAL) Data Set,,,,,This data is an addition to an existing dataset on UCI. We collected more data to improve the accuracy of our human activity recognition algorithms applied in the domain of Ambient Assisted Living.,2016-03-09,,computer
,,,,10929,561,NA,NA,NA,,,classification,NA,Smartphone-Based Recognition of Human Activities and Postural Transitions Data Set,,,,,Activity recognition data set built from the recordings of 30 subjects performing basic activities and postural transitions while carrying a waist-mounted smartphone with embedded inertial sensors.,2015-07-29,,life
,,,,4137,24,NA,NA,NA,,,regression,NA,SML2010 Data Set,,,,,This dataset is collected from a monitor system mounted in a domotic house. It corresponds to approximately 40 days of monitoring data.,2014-01-09,,computer
,,,,5574,N/A,NA,NA,NA,,,"classification, clustering",NA,SMS Spam Collection Data Set,,,,,The SMS Spam Collection is a public set of SMS labeled messages that have been collected for mobile phone spam research.,2012-06-22,,computer
,,,,1389,10,NA,NA,NA,,,regression,NA,Solar Flare Data Set,,,,,Each class attribute counts the number of solar flares of a certain class that occur in a 24 hour period,1989-03-01,,physical
,,,,143,7,NA,NA,NA,,,classification,NA,Somerville Happiness Survey Data Set,,,,,A data extract of a non-federal dataset posted here [Web Link],2018-05-24,,life
,,,,1000,21,NA,NA,NA,,,"classification, regression, clustering",NA,South German Credit Data Set,,,,,700 good and 300 bad credits with 20 predictor variables. Data from 1973 to 1975. Stratified sample from actual credits with bad credits heavily oversampled. A cost matrix can be used.,2019-11-29,,business
,,,,1000,21,NA,NA,NA,,,"classification, regression, clustering",NA,South German Credit (UPDATE) Data Set,,,,,700 good and 300 bad credits with 20 predictor variables. Data from 1973 to 1975. Stratified sample from actual credits with bad credits heavily oversampled. A cost matrix can be used.,2020-06-20,,business
,,,,307,35,NA,NA,NA,,,classification,NA,Soybean (Large) Data Set,,,,,Michalski's famous soybean disease database,1988-07-11,,life
,,,,47,35,NA,NA,NA,,,classification,NA,Soybean (Small) Data Set,,,,,Michalski's famous soybean disease database,1987-01-01,,life
,,,,4601,57,NA,NA,NA,,,classification,NA,Spambase Data Set,,,,,Classifying Email as Spam or Non-Spam,1999-07-01,,computer
,,,,329,12,NA,NA,NA,,,classification,NA,Speaker Accent Recognition Data Set,,,,,Data set featuring single English words read by speakers from six different countries for accent detection and recognition,2020-03-04,,social
,,,,267,22,NA,NA,NA,,,classification,NA,SPECT Heart Data Set,,,,,Data on cardiac Single Proton Emission Computed Tomography (SPECT) images. Each patient classified into two categories: normal and abnormal.,2001-10-01,,life
,,,,267,44,NA,NA,NA,,,classification,NA,SPECTF Heart Data Set,,,,,Data on cardiac Single Proton Emission Computed Tomography (SPECT) images. Each patient classified into two categories: normal and abnormal.,2001-10-01,,life
,,,,8800,13,NA,NA,NA,,,classification,NA,Spoken Arabic Digit Data Set,,,,,This dataset contains timeseries of mel-frequency cepstrum coefficients (MFCCs) corresponding to spoken Arabic digits.  Includes data from 44 male and 44 female native Arabic speakers.,2010-09-13,,n/a
,,,,76,45,NA,NA,NA,,,clustering,NA,Sponge Data Set,,,,,Data on sponges; Attributes in spanish,N/A,,life
,,,,1000,59,NA,NA,NA,,,classification,NA,Sports articles for objectivity analysis Data Set,,,,,"1000 sports articles were labeled using Amazon Mechanical Turk as objective or subjective. The raw texts, extracted features, and the URLs from which the articles were retrieved are provided.",2018-04-09,,social
,,,,690,14,NA,NA,NA,,,classification,NA,Statlog (Australian Credit Approval) Data Set,,,,,This file concerns credit card applications. This database exists elsewhere in the repository (Credit Screening Database) in a slightly different form,N/A,,financial
,,,,1000,20,NA,NA,NA,,,classification,NA,Statlog (German Credit Data) Data Set,,,,,This dataset classifies people described by a set of attributes as good or bad credit risks. Comes in two formats (one all numeric). Also comes with a cost matrix,1994-11-17,,financial
,,,,270,13,NA,NA,NA,,,classification,NA,Statlog (Heart) Data Set,,,,,This dataset is a heart disease database similar to a database already present in the repository (Heart Disease databases) but in a slightly different form,N/A,,life
,,,,2310,19,NA,NA,NA,,,classification,NA,Statlog (Image Segmentation) Data Set,,,,,This dataset is an image segmentation database similar to a database already present in the repository (Image segmentation database) but in a slightly different form.,1990-11-01,,n/a
,,,,6435,36,NA,NA,NA,,,classification,NA,Statlog (Landsat Satellite) Data Set,,,,,"Multi-spectral values of pixels in 3x3 neighbourhoods in a satellite image, and the classification associated with the central pixel in each neighbourhood",1993-02-13,,physical
,,,,58000,9,NA,NA,NA,,,classification,NA,Statlog (Shuttle) Data Set,,,,,The shuttle dataset contains 9 attributes all of which are numerical. Approximately 80% of the data belongs to class 1,N/A,,physical
,,,,946,18,NA,NA,NA,,,classification,NA,Statlog (Vehicle Silhouettes) Data Set,,,,,3D objects within a 2D image by application of an ensemble of shape feature extractors to the 2D silhouettes of the objects.,N/A,,n/a
,,,,N/A,N/A,NA,NA,NA,,,n/a,NA,Statlog Project Data Set,,,,,"Various Databases: Vehicle silhouttes, Landsat Sattelite, Shuttle, Australian Credit Approval, Heart Disease, Image Segmentation, German Credit",1992-10-01,,n/a
,,,,1941,27,NA,NA,NA,,,classification,NA,Steel Plates Faults Data Set,,,,,"A dataset of steel platesâ€™ faults, classified into 7 different types. ",2010-10-26,,physical
,,,,2279,9,NA,NA,NA,,,clustering,NA,Stock keeping units Data Set,,,,,"The dataset is provided by the â€œTrialto Latvia LTDâ€, the third-party logistics operator. Each observation stands for a distinct type of item for sale.",2019-04-10,,business
,,,,2279,9,NA,NA,NA,,,clustering,NA,Stock keeping units Data Set,,,,,"The dataset is provided by the â€œTrialto Latvia LTDâ€, the third-party logistics operator. Each observation stands for a distinct type of item for sale.",2019-04-10,,business
,,,,315,12,NA,NA,NA,,,regression,NA,Stock portfolio performance Data Set,,,,,The data set of performances of weighted scoring stock portfolios are obtained with mixture design from the US stock market historical database.,2016-04-22,,business
,,,,79,8,NA,NA,NA,,,"classification, clustering, causal-discovery",NA,StoneFlakes Data Set,,,,,"Stone flakes are waste products of the stone tool production in",2014-05-20,,n/a
,,,,300,22,NA,NA,NA,,,classification,NA,Student Academics Performance Data Set,,,,,"The dataset tried to find the end semester percentage prediction based on different social, economic and academic attributes.",2018-09-16,,computer
,,,,1000,N/A,NA,NA,NA,,,n/a,NA,Student Loan Relational Data Set,,,,,Student Loan Relational Domain,1993-01-01,,social
,,,,649,33,NA,NA,NA,,,"classification, regression",NA,Student Performance Data Set,,,,,Predict student performance in secondary education (high school).,2014-11-27,,social
,,,,666,11,NA,NA,NA,,,classification,NA,Student Performance on an entrance examination Data Set,,,,,This dataset contains data of the candidates who qualified the medical entrance examination for admission to medical colleges of Assam of a particular year and collected by Prof. Jiten Hazarika.,2018-12-10,,computer
,,,,21263,81,NA,NA,NA,,,regression,NA,Superconductivty Data Data Set,,,,,Two file s contain data on 21263 superconductors and their relevant features.,2018-10-12,,physical
,,,,5000000,18,NA,NA,NA,,,classification,NA,SUSY Data Set,,,,,This is a classification problem to distinguish between a signal process which produces supersymmetric particles and a background process which does not.,2014-02-12,,physical
,,,,24017,2400,NA,NA,NA,,,classification,NA,Swarm Behaviour Data Set,,,,,"This dataset achieved from an online survey, which is run by UNSW, Australia. It contains three data of ' Flocking - Not Flocking', 'Aligned - Not Aligned', and 'Grouped - Not Grouped'.",2020-06-16,,computer
,,,,600,N/A,NA,NA,NA,,,"classification, clustering",NA,Synthetic Control Chart Time Series Data Set,,,,,This data consists of synthetically generated control charts.,1999-06-08,,n/a
,,,,332,5,NA,NA,NA,,,classification,NA,Syskill and Webert Web Page Ratings Data Set,,,,,This database contains HTML source of web pages plus the ratings of a single user on these web pages. Web pages are on four seperate subjects (Bands- recording artists; Goats; Sheep; and BioMedical),1998-10-20,,computer
,,,,6819,96,NA,NA,NA,,,classification,NA,Taiwanese Bankruptcy Prediction Data Set,,,,,The data were collected from the Taiwan Economic Journal  for the years 1999 to 2009. Company bankruptcy was defined based on the business regulations of the Taiwan Stock Exchange.,2020-06-28,,business
,,,,45781,5,NA,NA,NA,,,"classification, regression, clustering",NA,Tamilnadu Electricity Board Hourly Readings Data Set,,,,,This data can be effectively produced the result to fewer parameter of the Load profile can be reduced in the Database,2013-12-22,,life
,,,,5456,25,NA,NA,NA,,,"classification, clustering",NA,Tarvel Review Ratings Data Set,,,,,Google reviews on attractions from 24 categories across Europe are considered. Google user rating ranges from 1 to 5 and average user rating per category is calculated.,2018-12-19,,n/a
,,,,1710671,9,NA,NA,NA,,,"clustering, causal-discovery",NA,"Taxi Service Trajectory - Prediction Challenge, ECML PKDD 2015 Data Set",,,,,"An accurate dataset describing trajectories performed by all the 442 taxis running in the city of Porto, in Portugal.",2015-07-11,,computer
,,,,151,5,NA,NA,NA,,,classification,NA,Teaching Assistant Evaluation Data Set,,,,,"The data consist of evaluations of teaching performance; scores are ""low"", ""medium"", or ""high""",1997-06-07,,n/a
,,,,127,42,NA,NA,NA,,,"classification, regression, clustering",NA,Tennis Major Tournament Match Statistics Data Set,,,,,This is a collection of 8 files containing the match statistics for both women and men at the four major tennis tournaments of the year 2013. Each file has 42 columns and a minimum of 76 rows.,2014-06-01,,n/a
,,,,470,17,NA,NA,NA,,,classification,NA,Thoracic Surgery Data Data Set,,,,,"The data is dedicated to classification problem related to the post-operative life expectancy in the lung cancer patients: class 1 - death within one year after surgery, class 2 - survival.",2013-11-13,,life
,,,,7200,21,NA,NA,NA,,,classification,NA,Thyroid Disease Data Set,,,,,10 separate databases from Garavan Institute,1987-01-01,,life
,,,,958,9,NA,NA,NA,,,classification,NA,Tic-Tac-Toe Endgame Data Set,,,,,Binary classification task on possible configurations of tic-tac-toe game,1991-08-19,,game
,,,,10,32,NA,NA,NA,,,classification,NA,Trains Data Set,,,,,"2 data formats (structured, one-instance-per-line)",1994-06-24,,n/a
,,,,980,11,NA,NA,NA,,,"classification, clustering",NA,Travel Reviews Data Set,,,,,"Reviews on destinations in 10 categories mentioned across East Asia. Each traveler rating is mapped as Excellent(4), Very Good(3), Average(2), Poor(1), and Terrible(0) and average rating is used.",2018-12-19,,n/a
