type,delimiter,extension,format,nrows,ncols,file_size,nnum_vars,nchar_vars,num_vars,char_vars,tasks,num_files,title,link,author,publisher,citation_request,description,date_submitted,date_created,tags
,,,,14057567,3,NA,NA,NA,,,"classification, regression",NA,Bar Crawl: Detecting Heavy Drinking Data Set,,,,,Accelerometer and transdermal alcohol content data from a college bar crawl. Used to predict heavy drinking episodes via mobile data.,2020-02-24,,life
,,,,14057567,3,NA,NA,NA,,,"classification, regression",NA,Bar Crawl: Detecting Heavy Drinking Data Set,,,,,Accelerometer and transdermal alcohol content data from a college bar crawl. Used to predict heavy drinking episodes via mobile data.,2020-02-24,,life
,,,,10000,7,NA,NA,NA,,,classification,NA,Basketball dataset Data Set,,,,,"It's data collected from different volunteers that are done in a basketball practice: dribbling, pass, shoot, picking the ball, and holding the ball.",2019-07-02,,game
,,,,1184,N/A,NA,NA,NA,,,classification,NA,BAUM-1 Data Set,,,,,BAUM-1 dataset contains 1184 multimodal facial video clips collected from 31 subjects. The 1184 video clips contain spontaneous facial expressions and speech of 13 emotional and mental states.,2018-11-09,,computer
,,,,1047,N/A,NA,NA,NA,,,classification,NA,BAUM-2 Data Set,,,,,A multilingual audio-visual affective face database consisting of 1047 video clips of 286 subjects.,2018-11-09,,computer
,,,,135,18,NA,NA,NA,,,"classification, regression",NA,Behavior of the urban traffic of the city of Sao Paulo in Brazil Data Set,,,,,The database was created with records of behavior of the urban traffic of the city of Sao Paulo in Brazil.,2018-12-12,,computer
,,,,420768,18,NA,NA,NA,,,regression,NA,Beijing Multi-Site Air-Quality Data Data Set,,,,,This hourly data set considers 6 main air pollutants and 6 relevant meteorological variables at multiple sites in Beijing.,2019-09-20,,physical
,,,,43824,13,NA,NA,NA,,,regression,NA,Beijing PM2.5 Data Data Set,,,,,"This hourly data set contains the PM2.5 data of US Embassy in Beijing. Meanwhile, meteorological data from Beijing Capital International Airport are also included.",2017-01-19,,physical
,,,,7750,25,NA,NA,NA,,,regression,NA,Bias correction of numerical prediction model temperature forecast Data Set,,,,,"It contains fourteen numerical weather prediction (NWP)'s meteorological forecast data, two in-situ observations, and five geographical auxiliary variables over Seoul, South Korea in the summer.",2020-02-18,,physical
,,,,17389,16,NA,NA,NA,,,regression,NA,Bike Sharing Dataset Data Set,,,,,This dataset contains the hourly and daily count of rental bikes between years 2011 and 2012 in Capital bikeshare system with the corresponding weather and seasonal information.,2013-12-20,,social
,,,,2916697,10,NA,NA,NA,,,"classification, clustering",NA,BitcoinHeistRansomwareAddressDataset Data Set,,,,,BitcoinHeist datasets contains address features on the heterogeneous Bitcoin network to identify ransomware payments.,2020-06-17,,computer
,,,,23570,5,NA,NA,NA,,,classification,NA,BLE RSSI dataset for Indoor localization Data Set,,,,,This dataset contains RSSIs obtained on smartphones(Sony Xperia XA1). Signals were transmitted from BLE product called iTAG. Location column denotes the position of iTAG in building's entry.,2019-05-29,,computer
